category,equipmentType,equipmentTypeName,displayId,enumName,name,imageUrl,hasArt
weapon,2,2H Axe,0,ANCIENT_GREATAXE,Ancient Greataxe,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/2-0.png,false
weapon,2,2H Axe,1,GORE_AXE,Gore Axe,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/2-1.png,true
weapon,2,2H Axe,2,SAVAGE_AXE,Savage Axe,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/2-2.png,true
weapon,2,2H Axe,3,BRONZE_HALF_MOON_AXE,Bronze Half-Moon Axe,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/2-3.png,true
weapon,2,2H Axe,4,SQUIRES_HALBERD,Squire's Halberd,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/2-4.png,true
weapon,2,2H Axe,5,LEVIATHANS_RAGE,Leviathan's Rage,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/2-5.png,true
weapon,3,Bow,0,ANCIENT_LONGBOW,Ancient Longbow,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/3-0.png,false
weapon,3,Bow,1,GORE_BOW,Gore Bow,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/3-1.png,true
weapon,3,Bow,2,STICK_N_STRING,Stick n' String,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/3-2.png,true
weapon,3,Bow,3,MAPLE_LONGBOW,Maple Longbow,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/3-3.png,true
weapon,3,Bow,4,SQUIRES_RECURVE_BOW,Squire's Recurve Bow,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/3-4.png,true
weapon,3,Bow,5,GORE_LONGBOW,Gore Longbow,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/3-5.png,true
weapon,3,Bow,6,FARSTRIKER,Farstriker,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/3-6.png,true
weapon,4,Dagger,0,ANCIENT_DAGGER,Ancient Dagger,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/4-0.png,false
weapon,4,Dagger,1,FLINT_KNIFE,Flint Knife,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/4-1.png,true
weapon,4,Dagger,2,BRONZE_GLADIUS,Bronze Gladius,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/4-2.png,true
weapon,4,Dagger,3,SQUIRES_DAGGER,Squire's Dagger,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/4-3.png,true
weapon,4,Dagger,4,RIPFANG,Ripfang,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/4-4.png,true
weapon,5,Gloves,0,ANCIENT_GLOVES,Ancient Gloves,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/5-0.png,false
weapon,5,Gloves,1,WOODEN_KNUCKLES,Wooden Knuckles,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/5-1.png,true
weapon,5,Gloves,2,BRONZE_CAESTI,Bronze Caesti,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/5-2.png,true
weapon,5,Gloves,3,SQUIRES_GLOVES,Squire's Gloves,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/5-3.png,true
weapon,6,1H Mace,0,ANCIENT_MACE,Ancient Mace,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/6-0.png,false
weapon,6,1H Mace,1,DRIFTWOOD_SHILLELAGH,Driftwood Shillelagh,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/6-1.png,true
weapon,6,1H Mace,2,MAPLE_CLUB,Maple Club,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/6-2.png,true
weapon,6,1H Mace,3,SQUIRES_MACE,Squire's Mace,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/6-3.png,true
weapon,6,1H Mace,4,CLAW_CUDGEL,Claw Cudgel,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/6-4.png,true
weapon,6,1H Mace,5,DEEPMAUL,Deepmaul,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/6-5.png,true
weapon,8,1H Spear,0,ANCIENT_JOSEON,Ancient Joseon,https://defi-kingdoms.b-cdn.net/art-assets/equipment/weapon/8-0.png,false
