slug,name,file
baby-boar,Baby Boar,monsters/baby-boar.png
baby-boc,Baby Boc,monsters/baby-boc.png
big-boar,Big Boar,monsters/big-boar.png
blub-archer,Blub Archer,monsters/blub-archer.png
blub-knight,Blub Knight,monsters/blub-knight.png
blub-priest,Blub Priest,monsters/blub-priest.png
corrupted-citizen,Corrupted Citizen,monsters/corrupted-citizen.png
crusted-crab,Crusted Crab,monsters/crusted-crab.png
demon-boc,Demon Boc,monsters/demon-boc.png
drowned-hero,Drowned Hero,monsters/drowned-hero.png
drunkard,Drunkard,monsters/drunkard.png
egg-boc,Egg Boc,monsters/egg-boc.png
grifter,Grifter,monsters/grifter.png
harpy,Harpy,monsters/harpy.png
living-armor,Living Armor,monsters/living-armor.png
lost-soul,Lost Soul,monsters/lost-soul.png
nameless-apostle,Nameless Apostle,monsters/nameless-apostle.png
octopilot,Octopilot,monsters/octopilot.png
pickpocket,Pickpocket,monsters/pickpocket.png
rocboc,Rocboc,monsters/rocboc.png
sea-hag,Sea Hag,monsters/sea-hag.png
